,movie_title,title_year,country,budget,director_first_name,director_last_name
912,Zero Dark Thirty ,2012,USA,40000000,Kathryn,Bigelow
913,The Break-Up ,2006,USA,52000000,Peyton,Reed
914,Mamma Mia! ,2008,USA,52000000,Phyllida,Lloyd
915,Valentine's Day ,2010,USA,52000000,Garry,Marshall
916,The Dukes of Hazzard ,2005,USA,50000000,Jay,Chandrasekhar
917,The Thin Red Line ,1998,USA,52000000,Terrence,Malick
918,The Change-Up ,2011,USA,52000000,David,Dobkin
919,Man on the Moon ,1999,UK,52000000,Milos,Forman
920,Casino ,1995,USA,52000000,Martin,Scorsese
921,From Paris with Love ,2010,France,52000000,Pierre,Morel
922,Bulletproof Monk ,2003,USA,52000000,Paul,Hunter
923,"Me, Myself & Irene ",2000,USA,51000000,Bobby,Farrelly
924,Barnyard ,2006,Germany,51000000,Steve,Oedekerk
926,The Twilight Saga: New Moon ,2009,USA,50000000,Chris,Weitz
927,Shrek ,2001,USA,60000000,Andrew,Adamson
928,The Adjustment Bureau ,2011,USA,50200000,George,Nolfi
929,Robin Hood: Prince of Thieves ,1991,USA,48000000,Kevin,Reynolds
930,Jerry Maguire ,1996,USA,50000000,Cameron,Crowe
931,Ted ,2012,USA,50000000,Seth,MacFarlane
932,As Good as It Gets ,1997,USA,50000000,James,L. Brooks
933,Patch Adams ,1998,USA,50000000,Tom,Shadyac
934,Anchorman 2: The Legend Continues ,2013,USA,50000000,Adam,McKay
935,Mr. Deeds ,2002,USA,50000000,Steven,Brill
936,Super 8 ,2011,USA,50000000,J.J.,Abrams
937,Erin Brockovich ,2000,USA,52000000,Steven,Soderbergh
938,How to Lose a Guy in 10 Days ,2003,USA,50000000,Donald,Petrie
939,22 Jump Street ,2014,USA,50000000,Phil,Lord
940,Interview with the Vampire: The Vampire Chronicles ,1994,USA,60000000,Neil,Jordan
941,Yes Man ,2008,USA,70000000,Peyton,Reed
942,Central Intelligence ,2016,USA,50000000,Rawson,Marshall Thurber
943,Stepmom ,1998,USA,50000000,Chris,Columbus
944,Daddy's Home ,2015,USA,50000000,Sean,Anders
945,Into the Woods ,2014,USA,50000000,Rob,Marshall
946,Inside Man ,2006,USA,45000000,Spike,Lee
947,Payback ,1999,USA,50000000,Brian,Helgeland
948,Congo ,1995,USA,50000000,Frank,Marshall
950,Knowing ,2009,USA,50000000,Alex,Proyas
951,Failure to Launch ,2006,USA,50000000,Tom,Dey
953,"Crazy, Stupid, Love. ",2011,USA,50000000,Glenn,Ficarra
954,Garfield ,2004,USA,35000000,Peter,Hewitt
955,Christmas with the Kranks ,2004,USA,60000000,Joe,Roth
956,Moneyball ,2011,USA,50000000,Bennett,Miller
957,Outbreak ,1995,USA,50000000,Wolfgang,Petersen
958,Non-Stop ,2014,UK,50000000,Jaume,Collet-Serra
959,Race to Witch Mountain ,2009,USA,65000000,Andy,Fickman
960,V for Vendetta ,2005,USA,54000000,James,McTeigue
961,Shanghai Knights ,2003,USA,50000000,David,Dobkin
963,Curious George ,2006,USA,50000000,Matthew,O'Callaghan
964,Herbie Fully Loaded ,2005,USA,50000000,Angela,Robinson
965,Don't Say a Word ,2001,USA,50000000,Gary,Fleder
966,Hansel & Gretel: Witch Hunters ,2013,Germany,50000000,Tommy,Wirkola
967,Unfaithful ,2002,USA,50000000,Adrian,Lyne
968,I Am Number Four ,2011,USA,60000000,D.J.,Caruso
969,Syriana ,2005,USA,50000000,Stephen,Gaghan
970,13 Hours ,2016,USA,50000000,Michael,Bay
971,The Book of Life ,2014,USA,50000000,Jorge,R. Gutiérrez
972,Firewall ,2006,USA,50000000,Richard,Loncraine
973,Absolute Power ,1997,USA,50000000,Clint,Eastwood
974,G.I. Jane ,1997,USA,50000000,Ridley,Scott
975,The Game ,1997,USA,50000000,David,Fincher
976,Silent Hill ,2006,Canada,50000000,Christophe,Gans
977,The Replacements ,2000,USA,50000000,Howard,Deutch
978,American Reunion ,2012,USA,50000000,Jon,Hurwitz
979,The Negotiator ,1998,Germany,50000000,F.,Gary Gray
980,Into the Storm ,2014,USA,50000000,Steven,Quale
981,Beverly Hills Cop III ,1994,USA,55000000,John,Landis
982,Gremlins 2: The New Batch ,1990,USA,50000000,Joe,Dante
983,The Judge ,2014,USA,50000000,David,Dobkin
984,The Peacemaker ,1997,USA,50000000,Mimi,Leder
985,Resident Evil: Apocalypse ,2004,Germany,45000000,Alexander,Witt
986,Bridget Jones: The Edge of Reason ,2004,UK,40000000,Beeban,Kidron
987,Out of Time ,2003,USA,50000000,Carl,Franklin
988,On Deadly Ground ,1994,USA,50000000,Steven,Seagal
989,The Adventures of Sharkboy and Lavagirl 3-D ,2005,USA,50000000,Robert,Rodriguez
990,The Beach ,2000,USA,50000000,Danny,Boyle
991,Raising Helen ,2004,USA,50000000,Garry,Marshall
992,Ninja Assassin ,2009,USA,40000000,James,McTeigue
993,For Love of the Game ,1999,USA,50000000,Sam,Raimi
995,Striptease ,1996,USA,40000000,Andrew,Bergman
996,Marmaduke ,2010,USA,50000000,Tom,Dey
997,Hereafter ,2010,USA,50000000,Clint,Eastwood
998,Murder by Numbers ,2002,USA,50000000,Barbet,Schroeder
999,Assassins ,1995,France,50000000,Richard,Donner
1000,Hannibal Rising ,2007,UK,50000000,Peter,Webber
1001,The Story of Us ,1999,USA,50000000,Rob,Reiner
1002,The Host ,2013,USA,40000000,Andrew,Niccol
1003,Basic ,2003,Germany,50000000,John,McTiernan
1004,Blood Work ,2002,USA,50000000,Clint,Eastwood
1005,The International ,2009,USA,50000000,Tom,Tykwer
1006,Escape from L.A. ,1996,USA,50000000,John,Carpenter
1008,The Iron Giant ,1999,USA,70000000,Brad,Bird
1009,The Life Aquatic with Steve Zissou ,2004,USA,50000000,Wes,Anderson
1010,Free State of Jones ,2016,USA,50000000,Gary,Ross
1011,The Life of David Gale ,2003,USA,50000000,Alan,Parker
1012,Man of the House ,2005,USA,40000000,Stephen,Herek
1013,Run All Night ,2015,USA,50000000,Jaume,Collet-Serra
1014,Eastern Promises ,2007,USA,25000000,David,Cronenberg
1015,Into the Blue ,2005,USA,50000000,John,Stockwell
1016,The Messenger: The Story of Joan of Arc ,1999,France,390000000,Luc,Besson
1017,Your Highness ,2011,USA,49900000,David,Gordon Green
1018,Dream House ,2011,USA,55000000,Jim,Sheridan
1019,Mad City ,1997,USA,50000000,Costa-Gavras,
1020,Baby's Day Out ,1994,USA,50000000,Patrick,Read Johnson
1021,The Scarlet Letter ,1995,USA,50000000,Roland,Joffé
1022,Fair Game ,2010,USA,22000000,Doug,Liman
1024,Domino ,2005,France,50000000,Tony,Scott
1025,Jade ,1995,USA,50000000,William,Friedkin
1026,Gamer ,2009,USA,50000000,Mark,Neveldine
1027,Beautiful Creatures ,2013,USA,60000000,Richard,LaGravenese
1028,Death to Smoochy ,2002,UK,55000000,Danny,DeVito
1029,Zoolander 2 ,2016,USA,50000000,Ben,Stiller
1030,The Big Bounce ,2004,USA,50000000,George,Armitage
1031,What Planet Are You From? ,2000,USA,50000000,Mike,Nichols
1032,Drive Angry ,2011,USA,50000000,Patrick,Lussier
1033,Street Fighter: The Legend of Chun-Li ,2009,Canada,18000000,Andrzej,Bartkowiak
1034,The One ,2001,USA,49000000,James,Wong
1036,The Adventures of Ford Fairlane ,1990,USA,40000000,Renny,Harlin
1038,Traffic ,2000,USA,48000000,Steven,Soderbergh
1039,Indiana Jones and the Last Crusade ,1989,USA,48000000,Steven,Spielberg
1041,Chappie ,2015,USA,49000000,Neill,Blomkamp
1042,The Bone Collector ,1999,USA,48000000,Phillip,Noyce
1043,Panic Room ,2002,USA,48000000,David,Fincher
1045,Three Kings ,1999,USA,48000000,David,O. Russell
1046,Child 44 ,2015,Czech Republic,50000000,Daniel,Espinosa
1047,Rat Race ,2001,Canada,48000000,Jerry,Zucker
1048,K-PAX ,2001,USA,48000000,Iain,Softley
1049,Kate & Leopold ,2001,USA,48000000,James,Mangold
1050,Bedazzled ,2000,USA,48000000,Harold,Ramis
1051,The Cotton Club ,1984,USA,58000000,Francis,Ford Coppola
1052,3:10 to Yuma ,2007,USA,55000000,James,Mangold
1053,Taken 3 ,2014,France,48000000,Olivier,Megaton
1054,Out of Sight ,1998,USA,48000000,Steven,Soderbergh
1055,The Cable Guy ,1996,USA,47000000,Ben,Stiller
1057,Dick Tracy ,1990,USA,100000000,Warren,Beatty
1058,The Thomas Crown Affair ,1999,USA,48000000,John,McTiernan
1059,Riding in Cars with Boys ,2001,USA,48000000,Penny,Marshall
1062,Happily N'Ever After ,2006,USA,47000000,Paul,Bolger
1063,Mary Reilly ,1996,USA,47000000,Stephen,Frears
1064,My Best Friend's Wedding ,1997,USA,46000000,P.J.,Hogan
1065,America's Sweethearts ,2001,USA,48000000,Joe,Roth
1066,Insomnia ,2002,USA,46000000,Christopher,Nolan
1067,Star Trek: First Contact ,1996,USA,45000000,Jonathan,Frakes
1068,Jonah Hex ,2010,USA,47000000,Jimmy,Hayward
1069,Courage Under Fire ,1996,USA,46000000,Edward,Zwick
1070,Liar Liar ,1997,USA,45000000,Tom,Shadyac
1073,The Flintstones ,1994,USA,45000000,Brian,Levant
1074,Taken 2 ,2012,France,45000000,Olivier,Megaton
1075,Scary Movie 3 ,2003,USA,48000000,David,Zucker
1076,Miss Congeniality ,2000,USA,45000000,Donald,Petrie
1077,Journey to the Center of the Earth ,2008,USA,45000000,Eric,Brevig
1078,The Princess Diaries 2: Royal Engagement ,2004,USA,40000000,Garry,Marshall
1079,The Pelican Brief ,1993,USA,45000000,Alan,J. Pakula
1080,The Client ,1994,USA,45000000,Joel,Schumacher
1081,The Bucket List ,2007,USA,45000000,Rob,Reiner
1082,Patriot Games ,1992,USA,45000000,Phillip,Noyce
1083,Monster-in-Law ,2005,Germany,60000000,Robert,Luketic
1084,Prisoners ,2013,USA,46000000,Denis,Villeneuve
1085,Training Day ,2001,USA,45000000,Antoine,Fuqua
1086,Galaxy Quest ,1999,USA,45000000,Dean,Parisot
1087,Scary Movie 2 ,2001,USA,45000000,Keenen,Ivory Wayans
1088,The Muppets ,2011,USA,45000000,James,Bobin
1089,Blade ,1998,USA,45000000,Stephen,Norrington
1090,Coach Carter ,2005,USA,30000000,Thomas,Carter
1091,Changing Lanes ,2002,USA,45000000,Roger,Michell
1092,Anaconda ,1997,USA,45000000,Luis,Llosa
1093,Coyote Ugly ,2000,USA,45000000,David,McNally
1094,Love Actually ,2003,UK,45000000,Richard,Curtis
1095,A Bug's Life ,1998,USA,120000000,John,Lasseter
1096,From Hell ,2001,USA,35000000,Albert,Hughes
1097,The Specialist ,1994,Peru,45000000,Luis,Llosa
1098,Tin Cup ,1996,USA,45000000,Ron,Shelton
1100,Kicking & Screaming ,2005,USA,45000000,Jesse,Dylan
1101,The Hitchhiker's Guide to the Galaxy ,2005,USA,50000000,Garth,Jennings
1102,Fat Albert ,2004,USA,26000000,Joel,Zwick
1103,Resident Evil: Extinction ,2007,France,45000000,Russell,Mulcahy
1104,Blended ,2014,USA,40000000,Frank,Coraci
1105,Last Holiday ,2006,USA,45000000,Wayne,Wang
1106,The River Wild ,1994,USA,45000000,Curtis,Hanson
1107,The Indian in the Cupboard ,1995,USA,45000000,Frank,Oz
1108,Savages ,2012,USA,45000000,Oliver,Stone
1109,Cellular ,2004,USA,25000000,David,R. Ellis
1110,Johnny English ,2003,UK,35000000,Peter,Howitt
1111,The Ant Bully ,2006,USA,50000000,John,A. Davis
1112,Dune ,1984,USA,40000000,David,Lynch
1113,Across the Universe ,2007,USA,45000000,Julie,Taymor
1114,Revolutionary Road ,2008,USA,35000000,Sam,Mendes
1115,16 Blocks ,2006,Germany,52000000,Richard,Donner
1116,Babylon A.D. ,2008,France,70000000,Mathieu,Kassovitz
1117,The Glimmer Man ,1996,USA,45000000,John,Gray
1118,Multiplicity ,1996,USA,45000000,Harold,Ramis
1119,Aliens in the Attic ,2009,USA,45000000,John,Schultz
1120,The Pledge ,2001,USA,45000000,Sean,Penn
1121,The Producers ,2005,USA,45000000,Susan,Stroman
1122,Dredd ,2012,UK,35000000,Pete,Travis
1123,The Phantom ,1996,Australia,45000000,Simon,Wincer
1124,All the Pretty Horses ,2000,USA,57000000,Billy,Bob Thornton
1125,Nixon ,1995,USA,50000000,Oliver,Stone
1126,The Ghost Writer ,2010,France,45000000,Roman,Polanski
1127,Deep Rising ,1998,USA,45000000,Stephen,Sommers
1128,Miracle at St. Anna ,2008,USA,45000000,Spike,Lee
1129,Curse of the Golden Flower ,2006,China,45000000,Yimou,Zhang
1130,Bangkok Dangerous ,2008,USA,40000000,Danny,Pang
1131,Big Trouble ,2002,USA,40000000,Barry,Sonnenfeld
1132,Love in the Time of Cholera ,2007,USA,45000000,Mike,Newell
1134,Shadow Conspiracy ,1997,USA,45000000,George,P. Cosmatos
1135,Johnny English Reborn ,2011,USA,45000000,Oliver,Parker
1137,Argo ,2012,USA,44500000,Ben,Affleck
1138,The Fugitive ,1993,USA,44000000,Andrew,Davis
1139,The Bounty Hunter ,2010,USA,40000000,Andy,Tennant
1140,Sleepers ,1996,USA,44000000,Barry,Levinson
1141,Rambo: First Blood Part II ,1985,USA,44000000,George,P. Cosmatos
1142,The Juror ,1996,USA,44000000,Brian,Gibson
1143,Pinocchio ,1940,USA,2600000,Norman,Ferguson
1144,Heaven's Gate ,1980,USA,44000000,Michael,Cimino
1145,Underworld: Evolution ,2006,USA,50000000,Len,Wiseman
1146,Victor Frankenstein ,2015,USA,40000000,Paul,McGuigan
1147,Finding Forrester ,2000,USA,43000000,Gus,Van Sant
1148,28 Days ,2000,USA,43000000,Betty,Thomas
1149,Unleashed ,2005,France,45000000,Louis,Leterrier
1150,The Sweetest Thing ,2002,USA,43000000,Roger,Kumble
1151,The Firm ,1993,USA,42000000,Sydney,Pollack
1152,Charlie St. Cloud ,2010,USA,44000000,Burr,Steers
1153,The Mechanic ,2011,USA,40000000,Simon,West
1154,21 Jump Street ,2012,USA,42000000,Phil,Lord
1155,Notting Hill ,1999,UK,42000000,Roger,Michell
1156,Chicken Run ,2000,UK,45000000,Peter,Lord
1157,Along Came Polly ,2004,USA,42000000,John,Hamburg
1158,Boomerang ,1992,USA,40000000,Reginald,Hudlin
1159,The Heat ,2013,USA,43000000,Paul,Feig
1160,Cleopatra ,1963,UK,31115000,Joseph,L. Mankiewicz
1161,Here Comes the Boom ,2012,USA,42000000,Frank,Coraci
1162,High Crimes ,2002,USA,42000000,Carl,Franklin
1163,The Mirror Has Two Faces ,1996,USA,42000000,Barbra,Streisand
1164,The Mothman Prophecies ,2002,USA,32000000,Mark,Pellington
1165,Brüno ,2009,USA,42000000,Larry,Charles
1166,Licence to Kill ,1989,UK,32000000,John,Glen
1167,Red Riding Hood ,2011,USA,42000000,Catherine,Hardwicke
1168,15 Minutes ,2001,USA,42000000,John,Herzfeld
1169,Super Mario Bros. ,1993,UK,42000000,Annabel,Jankel
1170,Lord of War ,2005,USA,50000000,Andrew,Niccol
1171,Hero ,2002,China,31000000,Yimou,Zhang
1172,One for the Money ,2012,USA,40000000,Julie,Anne Robinson
1173,The Interview ,2014,USA,44000000,Evan,Goldberg
1174,The Warrior's Way ,2010,New Zealand,45000000,Sngmoo,Lee
1176,Micmacs ,2009,France,27000000,Jean-Pierre,Jeunet
1177,8 Mile ,2002,USA,41000000,Curtis,Hanson
1179,A Knight's Tale ,2001,USA,65000000,Brian,Helgeland
1180,The Medallion ,2003,Hong Kong,41000000,Gordon,Chan
1181,The Sixth Sense ,1999,USA,40000000,M.,Night Shyamalan
1182,Man on a Ledge ,2012,USA,42000000,Asger,Leth
1183,The Big Year ,2011,USA,41000000,David,Frankel
1184,The Karate Kid ,1984,USA,8000000,John,G. Avildsen
1185,American Hustle ,2013,USA,40000000,David,O. Russell
1186,The Proposal ,2009,USA,40000000,Anne,Fletcher
1187,Double Jeopardy ,1999,USA,70000000,Bruce,Beresford
1188,Back to the Future Part II ,1989,USA,40000000,Robert,Zemeckis
1189,Lucy ,2014,France,40000000,Luc,Besson
1190,Fifty Shades of Grey ,2015,USA,40000000,Sam,Taylor-Johnson
1191,Spy Kids 3-D: Game Over ,2003,USA,38000000,Robert,Rodriguez
1192,A Time to Kill ,1996,USA,40000000,Joel,Schumacher
1193,Cheaper by the Dozen ,2003,USA,40000000,Shawn,Levy
1194,Lone Survivor ,2013,USA,40000000,Peter,Berg
1195,A League of Their Own ,1992,USA,40000000,Penny,Marshall
1196,The Conjuring 2 ,2016,USA,40000000,James,Wan
1197,The Social Network ,2010,USA,40000000,David,Fincher
1198,He's Just Not That Into You ,2009,USA,40000000,Ken,Kwapis
1199,Scary Movie 4 ,2006,USA,45000000,David,Zucker
1200,Scream 3 ,2000,USA,40000000,Wes,Craven
1201,Back to the Future Part III ,1990,USA,40000000,Robert,Zemeckis
1202,Get Hard ,2015,USA,40000000,Etan,Cohen
1203,Bram Stoker's Dracula ,1992,USA,40000000,Francis,Ford Coppola
1204,Julie & Julia ,2009,USA,40000000,Nora,Ephron
1205,42 ,2013,USA,40000000,Brian,Helgeland
1206,The Talented Mr. Ripley ,1999,USA,40000000,Anthony,Minghella
1207,Dumb and Dumber To ,2014,USA,35000000,Bobby,Farrelly
1208,Eight Below ,2006,USA,40000000,Frank,Marshall
1209,The Intern ,2015,USA,35000000,Nancy,Meyers
1210,Ride Along 2 ,2016,USA,40000000,Tim,Story
1211,The Last of the Mohicans ,1992,USA,40000000,Michael,Mann
1212,Ray ,2004,USA,40000000,Taylor,Hackford
1213,Sin City ,2005,USA,40000000,Frank,Miller
1214,Vantage Point ,2008,USA,40000000,Pete,Travis
1215,"I Love You, Man ",2009,USA,40000000,John,Hamburg
1216,Shallow Hal ,2001,USA,40000000,Bobby,Farrelly
1217,JFK ,1991,France,40000000,Oliver,Stone
1218,Big Momma's House 2 ,2006,USA,40000000,John,Whitesell
1219,The Mexican ,2001,USA,34000000,Gore,Verbinski
1220,Unbroken ,2014,USA,65000000,Angelina,Jolie Pitt
1221,17 Again ,2009,USA,20000000,Burr,Steers
1222,The Other Woman ,2014,USA,40000000,Nick,Cassavetes
1223,The Final Destination ,2009,USA,40000000,David,R. Ellis
1224,Bridge of Spies ,2015,USA,40000000,Steven,Spielberg
1225,Behind Enemy Lines ,2001,USA,40000000,John,Moore
1227,Shall We Dance ,2004,USA,50000000,Peter,Chelsom
1228,Small Soldiers ,1998,USA,40000000,Joe,Dante
1229,Spawn ,1997,USA,40000000,Mark,A.Z. Dippé
1230,The Count of Monte Cristo ,2002,UK,35000000,Kevin,Reynolds
1231,The Lincoln Lawyer ,2011,USA,40000000,Brad,Furman
1232,Unknown ,2011,UK,30000000,Jaume,Collet-Serra
1233,The Prestige ,2006,USA,40000000,Christopher,Nolan
1234,Horrible Bosses 2 ,2014,USA,42000000,Sean,Anders
1235,Escape from Planet Earth ,2013,USA,40000000,Cal,Brunker
1236,Apocalypto ,2006,USA,40000000,Mel,Gibson
1237,The Living Daylights ,1987,UK,30000000,John,Glen
1238,Predators ,2010,USA,40000000,Nimród,Antal
1239,Legal Eagles ,1986,USA,40000000,Ivan,Reitman
1240,Secret Window ,2004,USA,40000000,David,Koepp
1241,The Lake House ,2006,USA,40000000,Alejandro,Agresti
1242,The Skeleton Key ,2005,USA,43000000,Iain,Softley
1243,The Odd Life of Timothy Green ,2012,USA,25000000,Peter,Hedges
1244,Made of Honor ,2008,USA,40000000,Paul,Weiland
1245,Jersey Boys ,2014,USA,40000000,Clint,Eastwood
1246,The Rainmaker ,1997,USA,40000000,Francis,Ford Coppola
1247,Gothika ,2003,USA,40000000,Mathieu,Kassovitz
1248,Amistad ,1997,USA,36000000,Steven,Spielberg
1249,Medicine Man ,1992,USA,40000000,John,McTiernan
1250,Aliens vs. Predator: Requiem ,2007,USA,40000000,Colin,Strause
1251,Ri¢hie Ri¢h ,1994,USA,40000000,Donald,Petrie
1252,Autumn in New York ,2000,USA,40000000,Joan,Chen
1254,Paul ,2011,USA,40000000,Greg,Mottola
1255,The Guilt Trip ,2012,USA,40000000,Anne,Fletcher
1256,Scream 4 ,2011,USA,40000000,Wes,Craven
1257,8MM ,1999,Germany,40000000,Joel,Schumacher
1258,The Doors ,1991,USA,38000000,Oliver,Stone
1259,Sex Tape ,2014,USA,40000000,Jake,Kasdan
1260,Hanging Up ,2000,Germany,60000000,Diane,Keaton
1261,Final Destination 5 ,2011,USA,40000000,Steven,Quale
1262,Mickey Blue Eyes ,1999,UK,40000000,Kelly,Makin
1263,Pay It Forward ,2000,USA,40000000,Mimi,Leder
1264,Fever Pitch ,2005,USA,30000000,Bobby,Farrelly
1266,Drillbit Taylor ,2008,USA,40000000,Steven,Brill
1267,A Million Ways to Die in the West ,2014,USA,40000000,Seth,MacFarlane
1268,The Shadow ,1994,USA,25000000,Russell,Mulcahy
1269,Extremely Loud & Incredibly Close ,2011,USA,40000000,Stephen,Daldry
1270,Morning Glory ,2010,USA,40000000,Roger,Michell
1271,Get Rich or Die Tryin' ,2005,USA,40000000,Jim,Sheridan
1272,The Art of War ,2000,USA,40000000,Christian,Duguay
1273,Rent ,2005,USA,40000000,Chris,Columbus
1274,Bless the Child ,2000,USA,40000000,Chuck,Russell
1275,The Out-of-Towners ,1999,USA,40000000,Sam,Weisman
1276,The Island of Dr. Moreau ,1996,USA,40000000,John,Frankenheimer
1277,The Musketeer ,2001,Germany,40000000,Peter,Hyams
1278,The Other Boleyn Girl ,2008,UK,35000000,Justin,Chadwick
1279,Sweet November ,2001,USA,40000000,Pat,O'Connor
1280,The Reaping ,2007,USA,40000000,Stephen,Hopkins
1281,Mean Streets ,1973,USA,500000,Martin,Scorsese
1282,Renaissance Man ,1994,USA,40000000,Penny,Marshall
1283,Colombiana ,2011,France,40000000,Olivier,Megaton
1284,The Magic Sword: Quest for Camelot ,1998,USA,40000000,Frederik,Du Chau
1285,City by the Sea ,2002,USA,60000000,Michael,Caton-Jones
1286,At First Sight ,1999,USA,60000000,Irwin,Winkler
1287,Torque ,2004,USA,40000000,Joseph,Kahn
1288,City Hall ,1996,USA,40000000,Harold,Becker
1289,Showgirls ,1995,France,45000000,Paul,Verhoeven
1290,Marie Antoinette ,2006,USA,40000000,Sofia,Coppola
1291,Kiss of Death ,1995,USA,40000000,Barbet,Schroeder
1292,Get Carter ,2000,USA,40000000,Stephen,Kay
1293,The Impossible ,2012,Spain,45000000,J.A.,Bayona
1294,Ishtar ,1987,USA,51000000,Elaine,May
1295,Fantastic Mr. Fox ,2009,USA,40000000,Wes,Anderson
1296,Life or Something Like It ,2002,USA,40000000,Stephen,Herek
1297,Memoirs of an Invisible Man ,1992,USA,40000000,John,Carpenter
1298,Amélie ,2001,France,77000000,Jean-Pierre,Jeunet
1299,New York Minute ,2004,USA,30000000,Dennie,Gordon
1300,Alfie ,2004,UK,60000000,Charles,Shyer
1301,Big Miracle ,2012,USA,40000000,Ken,Kwapis
1302,The Deep End of the Ocean ,1999,USA,40000000,Ulu,Grosbard
1303,Feardotcom ,2002,UK,42000000,William,Malone
1304,Cirque du Freak: The Vampire's Assistant ,2009,USA,40000000,Paul,Weitz
1305,Victor Frankenstein ,2015,USA,40000000,Paul,McGuigan
1306,Duplex ,2003,USA,40000000,Danny,DeVito
1308,Raise the Titanic ,1980,UK,36000000,Jerry,Jameson
1309,Universal Soldier: The Return ,1999,USA,24000000,Mic,Rodgers
1310,Pandorum ,2009,Germany,33000000,Christian,Alvart
1311,Impostor ,2001,USA,40000000,Gary,Fleder
1312,Extreme Ops ,2002,UK,40000000,Christian,Duguay
1313,Just Visiting ,2001,France,40000000,Jean-Marie,Poiré
1314,Sunshine ,2007,UK,26000000,Danny,Boyle
1315,A Thousand Words ,2012,USA,40000000,Brian,Robbins
1316,Delgo ,2008,USA,40000000,Marc,F. Adler
1317,The Gunman ,2015,USA,40000000,Pierre,Morel
1318,Alex Rider: Operation Stormbreaker ,2006,Germany,40000000,Geoffrey,Sax
1319,Disturbia ,2007,USA,20000000,D.J.,Caruso
1320,Hackers ,1995,USA,20000000,Iain,Softley
1321,The Hunting Party ,2007,USA,25000000,Richard,Shepard
1322,The Hudsucker Proxy ,1994,UK,30000000,Joel,Coen
1323,The Warlords ,2007,Hong Kong,40000000,Peter,Ho-Sun Chan
1324,Nomad: The Warrior ,2005,France,25000000,Sergey,Bodrov
1325,Snowpiercer ,2013,South Korea,39200000,Joon-ho,Bong
1328,The Crow ,1994,USA,23000000,Alex,Proyas
1330,The Time Traveler's Wife ,2009,USA,39000000,Robert,Schwentke
1332,The Fast and the Furious ,2001,USA,38000000,Rob,Cohen
1333,Frankenweenie ,2012,USA,39000000,Tim,Burton
1334,Serenity ,2005,USA,40000000,Joss,Whedon
1335,Against the Ropes ,2004,USA,39000000,Charles,S. Dutton
1336,Superman III ,1983,UK,39000000,Richard,Lester
1337,Grudge Match ,2013,USA,40000000,Peter,Segal
1338,Red Cliff ,2008,China,553632000,John,Woo
1339,Sweet Home Alabama ,2002,USA,38000000,Andy,Tennant
1340,The Ugly Truth ,2009,USA,38000000,Robert,Luketic
1341,Sgt. Bilko ,1996,USA,39000000,Jonathan,Lynn
1342,Spy Kids 2: Island of Lost Dreams ,2002,USA,38000000,Robert,Rodriguez
1343,Star Trek: Generations ,1994,USA,35000000,David,Carson
1344,The Grandmaster ,2013,Hong Kong,38600000,Kar-Wai,Wong
1345,Water for Elephants ,2011,USA,38000000,Francis,Lawrence
1348,The Hurricane ,1999,USA,38000000,Norman,Jewison
1349,Enough ,2002,USA,38000000,Michael,Apted
1350,Heartbreakers ,2001,USA,35000000,David,Mirkin
1351,Paul Blart: Mall Cop 2 ,2015,USA,30000000,Andy,Fickman
1352,Angel Eyes ,2001,USA,38000000,Luis,Mandoki
1353,Joe Somebody ,2001,USA,38000000,John,Pasquin
1354,The Ninth Gate ,1999,Spain,38000000,Roman,Polanski
1355,Extreme Measures ,1996,USA,38000000,Michael,Apted
1356,Rock Star ,2001,USA,57000000,Stephen,Herek
1357,Precious ,2009,USA,10000000,Lee,Daniels
1358,White Squall ,1996,USA,38000000,Ridley,Scott
1359,The Thing ,1982,USA,15000000,John,Carpenter
1360,Riddick ,2013,USA,38000000,David,Twohy
1361,Switchback ,1997,USA,37000000,Jeb,Stuart
1362,Texas Rangers ,2001,USA,38000000,Steve,Miner
1363,City of Ember ,2008,USA,55000000,Gil,Kenan
1364,The Master ,2012,USA,32000000,Paul,Thomas Anderson
1366,The Express ,2008,USA,40000000,Gary,Fleder
1367,The 5th Wave ,2016,USA,38000000,J,Blakeson
1368,Creed ,2015,USA,35000000,Ryan,Coogler
1369,The Town ,2010,USA,37000000,Ben,Affleck
1370,What to Expect When You're Expecting ,2012,USA,40000000,Kirk,Jones
1371,Burn After Reading ,2008,USA,37000000,Ethan,Coen
1372,Nim's Island ,2008,USA,37000000,Jennifer,Flackett
1373,Rush ,2013,UK,38000000,Ron,Howard
1374,Magnolia ,1999,USA,37000000,Paul,Thomas Anderson
1375,Cop Out ,2010,USA,37000000,Kevin,Smith
1376,How to Be Single ,2016,USA,38000000,Christian,Ditter
1377,Dolphin Tale ,2011,USA,37000000,Charles,Martin Smith
1378,Twilight ,2008,USA,37000000,Catherine,Hardwicke
1379,John Q ,2002,USA,36000000,Nick,Cassavetes
1380,Blue Streak ,1999,USA,65000000,Les,Mayfield
1381,We're the Millers ,2013,USA,37000000,Rawson,Marshall Thurber
1383,Breakdown ,1997,USA,36000000,Jonathan,Mostow
1384,Never Say Never Again ,1983,UK,36000000,Irvin,Kershner
1385,Hot Tub Time Machine ,2010,USA,36000000,Steve,Pink
1386,Dolphin Tale 2 ,2014,USA,36000000,Charles,Martin Smith
1387,Reindeer Games ,2000,USA,34000000,John,Frankenheimer
1388,A Man Apart ,2003,USA,36000000,F.,Gary Gray
